,RingSeine,MechTrawl,Gillnet
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,0,0,0
180,0,0,0
181,0,0,0
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,0,0,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,193505.7,3519816.3,1278732.7
202,193505.7,3519816.3,1278732.7
203,193505.7,3519816.3,1278732.7
204,193505.7,3519816.3,1278732.7
205,193505.7,3519816.3,1278732.7
206,193505.7,3519816.3,1278732.7
207,193505.7,3519816.3,1278732.7
208,193505.7,3519816.3,1278732.7
209,193505.7,3519816.3,1278732.7
210,193505.7,3519816.3,1278732.7
211,193505.7,3519816.3,1278732.7
212,193505.7,3519816.3,1278732.7
213,193505.7,3519816.3,1278732.7
214,193505.7,3519816.3,1278732.7
215,193505.7,3519816.3,1278732.7
216,193505.7,3519816.3,1278732.7
217,193505.7,3519816.3,1278732.7
218,193505.7,3519816.3,1278732.7
219,193505.7,3519816.3,1278732.7
220,193505.7,3519816.3,1278732.7
221,193505.7,3519816.3,1278732.7
222,193505.7,3519816.3,1278732.7
223,193505.7,3519816.3,1278732.7
224,193505.7,3519816.3,1278732.7
225,193505.7,3519816.3,1278732.7
226,193505.7,3519816.3,1278732.7
227,193505.7,3519816.3,1278732.7
228,193505.7,3519816.3,1278732.7
229,193505.7,3519816.3,1278732.7
230,193505.7,3519816.3,1278732.7
231,193505.7,3519816.3,1278732.7
232,193505.7,3519816.3,1278732.7
233,193505.7,3519816.3,1278732.7
234,193505.7,3519816.3,1278732.7
235,193505.7,3519816.3,1278732.7
236,193505.7,3519816.3,1278732.7
237,193505.7,3519816.3,1278732.7
238,193505.7,3519816.3,1278732.7
239,193505.7,3519816.3,1278732.7
240,193505.7,3519816.3,1278732.7
241,193505.7,3519816.3,1278732.7
242,193505.7,3519816.3,1278732.7
243,193505.7,3519816.3,1278732.7
244,193505.7,3519816.3,1278732.7
245,193505.7,3519816.3,1278732.7
246,193505.7,3519816.3,1278732.7
247,193505.7,3519816.3,1278732.7
248,193505.7,3519816.3,1278732.7
249,193505.7,3519816.3,1278732.7
250,193505.7,3519816.3,1278732.7
251,193505.7,3519816.3,1278732.7
252,193505.7,3519816.3,1278732.7
253,193505.7,3519816.3,1278732.7
254,193505.7,3519816.3,1278732.7
255,193505.7,3519816.3,1278732.7
256,193505.7,3519816.3,1278732.7
257,193505.7,3519816.3,1278732.7
258,193505.7,3519816.3,1278732.7
259,193505.7,3519816.3,1278732.7
260,193505.7,3519816.3,1278732.7
261,193505.7,3519816.3,1278732.7
262,193505.7,3519816.3,1278732.7
263,193505.7,3519816.3,1278732.7
264,193505.7,3519816.3,1278732.7
265,193505.7,3519816.3,1278732.7
266,193505.7,3519816.3,1278732.7
267,193505.7,3519816.3,1278732.7
268,193505.7,3519816.3,1278732.7
269,193505.7,3519816.3,1278732.7
270,193505.7,3519816.3,1278732.7
271,193505.7,3519816.3,1278732.7
272,193505.7,3519816.3,1278732.7
273,193505.7,3519816.3,1278732.7
274,193505.7,3519816.3,1278732.7
275,193505.7,3519816.3,1278732.7
276,193505.7,3519816.3,1278732.7
277,193505.7,3519816.3,1278732.7
278,193505.7,3519816.3,1278732.7
279,193505.7,3519816.3,1278732.7
280,193505.7,3519816.3,1278732.7
281,193505.7,3519816.3,1278732.7
282,193505.7,3519816.3,1278732.7
283,193505.7,3519816.3,1278732.7
284,193505.7,3519816.3,1278732.7
285,193505.7,3519816.3,1278732.7
286,193505.7,3519816.3,1278732.7
287,193505.7,3519816.3,1278732.7
288,193505.7,3519816.3,1278732.7
289,193505.7,3519816.3,1278732.7
290,193505.7,3519816.3,1278732.7
291,193505.7,3519816.3,1278732.7
292,193505.7,3519816.3,1278732.7
293,193505.7,3519816.3,1278732.7
294,193505.7,3519816.3,1278732.7
295,193505.7,3519816.3,1278732.7
296,193505.7,3519816.3,1278732.7
297,193505.7,3519816.3,1278732.7
298,193505.7,3519816.3,1278732.7
299,193505.7,3519816.3,1278732.7
300,193505.7,3519816.3,1278732.7
301,193505.7,3519816.3,1278732.7
302,193505.7,3519816.3,1278732.7
303,193505.7,3519816.3,1278732.7
304,193505.7,3519816.3,1278732.7
305,193505.7,3519816.3,1278732.7
306,193505.7,3519816.3,1278732.7
307,193505.7,3519816.3,1278732.7
308,193505.7,3519816.3,1278732.7
309,193505.7,3519816.3,1278732.7
310,193505.7,3519816.3,1278732.7
311,193505.7,3519816.3,1278732.7
312,193505.7,3519816.3,1278732.7
313,193505.7,3519816.3,1278732.7
314,193505.7,3519816.3,1278732.7
315,193505.7,3519816.3,1278732.7
316,193505.7,3519816.3,1278732.7
317,193505.7,3519816.3,1278732.7
318,193505.7,3519816.3,1278732.7
319,193505.7,3519816.3,1278732.7
320,193505.7,3519816.3,1278732.7
321,193505.7,3519816.3,1278732.7
322,193505.7,3519816.3,1278732.7
323,193505.7,3519816.3,1278732.7
324,193505.7,3519816.3,1278732.7
325,193505.7,3519816.3,1278732.7
326,193505.7,3519816.3,1278732.7
327,193505.7,3519816.3,1278732.7
328,193505.7,3519816.3,1278732.7
329,193505.7,3519816.3,1278732.7
330,193505.7,3519816.3,1278732.7
331,193505.7,3519816.3,1278732.7
332,193505.7,3519816.3,1278732.7
333,193505.7,3519816.3,1278732.7
334,193505.7,3519816.3,1278732.7
335,193505.7,3519816.3,1278732.7
336,193505.7,3519816.3,1278732.7
337,193505.7,3519816.3,1278732.7
338,193505.7,3519816.3,1278732.7
339,193505.7,3519816.3,1278732.7
340,193505.7,3519816.3,1278732.7
341,193505.7,3519816.3,1278732.7
342,193505.7,3519816.3,1278732.7
343,193505.7,3519816.3,1278732.7
344,193505.7,3519816.3,1278732.7
345,193505.7,3519816.3,1278732.7
346,193505.7,3519816.3,1278732.7
347,193505.7,3519816.3,1278732.7
348,193505.7,3519816.3,1278732.7
349,193505.7,3519816.3,1278732.7
350,193505.7,3519816.3,1278732.7
351,193505.7,3519816.3,1278732.7
352,193505.7,3519816.3,1278732.7
353,193505.7,3519816.3,1278732.7
354,193505.7,3519816.3,1278732.7
355,193505.7,3519816.3,1278732.7
356,193505.7,3519816.3,1278732.7
357,193505.7,3519816.3,1278732.7
358,193505.7,3519816.3,1278732.7
359,193505.7,3519816.3,1278732.7
360,193505.7,3519816.3,1278732.7
361,193505.7,3519816.3,1278732.7
362,193505.7,3519816.3,1278732.7
363,193505.7,3519816.3,1278732.7
364,193505.7,3519816.3,1278732.7
365,193505.7,3519816.3,1278732.7
366,193505.7,3519816.3,1278732.7
367,193505.7,3519816.3,1278732.7
368,193505.7,3519816.3,1278732.7
369,193505.7,3519816.3,1278732.7
370,193505.7,3519816.3,1278732.7
371,193505.7,3519816.3,1278732.7
372,193505.7,3519816.3,1278732.7
373,193505.7,3519816.3,1278732.7
374,193505.7,3519816.3,1278732.7
375,193505.7,3519816.3,1278732.7
376,193505.7,3519816.3,1278732.7
377,193505.7,3519816.3,1278732.7
378,193505.7,3519816.3,1278732.7
379,193505.7,3519816.3,1278732.7
380,193505.7,3519816.3,1278732.7
381,193505.7,3519816.3,1278732.7
382,193505.7,3519816.3,1278732.7
383,193505.7,3519816.3,1278732.7
384,193505.7,3519816.3,1278732.7
385,193505.7,3519816.3,1278732.7
386,193505.7,3519816.3,1278732.7
387,193505.7,3519816.3,1278732.7
388,193505.7,3519816.3,1278732.7
389,193505.7,3519816.3,1278732.7
390,193505.7,3519816.3,1278732.7
391,193505.7,3519816.3,1278732.7
392,193505.7,3519816.3,1278732.7
393,193505.7,3519816.3,1278732.7
394,193505.7,3519816.3,1278732.7
395,193505.7,3519816.3,1278732.7
396,193505.7,3519816.3,1278732.7
397,193505.7,3519816.3,1278732.7
398,193505.7,3519816.3,1278732.7
399,193505.7,3519816.3,1278732.7
400,193505.7,3519816.3,1278732.7
